0: H {lng: 104.177013, lat: 30.597304}
1: H {lng: 104.173282, lat: 30.599771}
2: H {lng: 104.168972, lat: 30.594868}
3: H {lng: 104.162661, lat: 30.597908}
4: H {lng: 104.159574, lat: 30.603628}
5: H {lng: 104.164722, lat: 30.610684}
6: H {lng: 104.15616, lat: 30.613023}
7: H {lng: 104.148883, lat: 30.623486}
8: H {lng: 104.14605, lat: 30.622645}
9: H {lng: 104.141228, lat: 30.627606}
10: H {lng: 104.136126, lat: 30.623681}
11: H {lng: 104.131696, lat: 30.627452}
12: H {lng: 104.131033, lat: 30.632381}
13: H {lng: 104.136037, lat: 30.632333}
14: H {lng: 104.134197, lat: 30.640983}
15: H {lng: 104.095065, lat: 30.659385}
16: H {lng: 104.103214, lat: 30.669781}
17: H {lng: 104.097734, lat: 30.67517}
18: H {lng: 104.092512, lat: 30.669958}
19: H {lng: 104.085871, lat: 30.673146}
20: H {lng: 104.080259, lat: 30.664367}
21: H {lng: 104.074207, lat: 30.664367}
22: H {lng: 104.066506, lat: 30.6532}
23: H {lng: 104.084557, lat: 30.651506}
24: H {lng: 104.094383, lat: 30.646815}
25: H {lng: 104.100824, lat: 30.635889}
26: H {lng: 104.091113, lat: 30.629415}
27: H {lng: 104.094888, lat: 30.612267}
28: H {lng: 104.087933, lat: 30.605146}
29: H {lng: 104.090207, lat: 30.597415}
30: H {lng: 104.085557, lat: 30.595079}
31: H {lng: 104.086414, lat: 30.586236}
32: H {lng: 104.080916, lat: 30.57624}
33: H {lng: 104.096784, lat: 30.572838}
34: H {lng: 104.109519, lat: 30.577607}
35: H {lng: 104.119061, lat: 30.574367}
36: H {lng: 104.121351, lat: 30.570439}
37: H {lng: 104.115761, lat: 30.561424}
38: H {lng: 104.115966, lat: 30.555212}
39: H {lng: 104.11806, lat: 30.552647}
40: H {lng: 104.122237, lat: 30.55504}
41: H {lng: 104.132783, lat: 30.553217}
42: H {lng: 104.135285, lat: 30.55834}
43: H {lng: 104.131587, lat: 30.558458}
44: H {lng: 104.12983, lat: 30.562924}
45: H {lng: 104.141822, lat: 30.574131}
46: H {lng: 104.147792, lat: 30.574128}
47: H {lng: 104.155501, lat: 30.565871}
48: H {lng: 104.158995, lat: 30.568498}
49: H {lng: 104.158479, lat: 30.573292}
50: H {lng: 104.163823, lat: 30.569122}
51: H {lng: 104.17196, lat: 30.569538}
52: H {lng: 104.166535, lat: 30.573126}
53: H {lng: 104.174434, lat: 30.572458}
54: H {lng: 104.17489, lat: 30.579248}
55: H {lng: 104.171284, lat: 30.581787}
56: H {lng: 104.169978, lat: 30.574974}
57: H {lng: 104.170203, lat: 30.580257}
58: H {lng: 104.165386, lat: 30.581981}
59: H {lng: 104.174015, lat: 30.589419}
60: H {lng: 104.177013, lat: 30.597304}
