0: H {lng: 104.100824, lat: 30.635889}
1: H {lng: 104.095428, lat: 30.646009}
2: H {lng: 104.084557, lat: 30.651506}
3: H {lng: 104.065186, lat: 30.653405}
4: H {lng: 104.059193, lat: 30.658289}
5: H {lng: 104.028869, lat: 30.657781}
6: H {lng: 104.025619, lat: 30.663448}
7: H {lng: 104.013866, lat: 30.658836}
8: H {lng: 104.011941, lat: 30.665454}
9: H {lng: 104.00631, lat: 30.666901}
10: H {lng: 104.001589, lat: 30.659926}
11: H {lng: 103.998147, lat: 30.666526}
12: H {lng: 103.996308, lat: 30.663667}
13: H {lng: 103.991095, lat: 30.666762}
14: H {lng: 103.988129, lat: 30.662106}
15: H {lng: 103.985035, lat: 30.667856}
16: H {lng: 103.975303, lat: 30.660247}
17: H {lng: 103.973612, lat: 30.6638}
18: H {lng: 103.977196, lat: 30.667526}
19: H {lng: 103.96754, lat: 30.670286}
20: H {lng: 103.967615, lat: 30.666643}
21: H {lng: 103.956626, lat: 30.664217}
22: H {lng: 103.958029, lat: 30.659275}
23: H {lng: 103.954284, lat: 30.654269}
24: H {lng: 103.955283, lat: 30.650614}
25: H {lng: 103.958865, lat: 30.650636}
26: H {lng: 103.959515, lat: 30.638888}
27: H {lng: 103.968201, lat: 30.630492}
28: H {lng: 103.962185, lat: 30.625372}
29: H {lng: 103.963209, lat: 30.614255}
30: H {lng: 103.97329, lat: 30.61178}
31: H {lng: 103.972793, lat: 30.580268}
32: H {lng: 103.983077, lat: 30.578158}
33: H {lng: 103.982607, lat: 30.582026}
34: H {lng: 103.995524, lat: 30.590641}
35: H {lng: 104.002155, lat: 30.590489}
36: H {lng: 104.011691, lat: 30.582946}
37: H {lng: 104.014611, lat: 30.592631}
38: H {lng: 104.024209, lat: 30.590109}
39: H {lng: 104.029514, lat: 30.581576}
40: H {lng: 104.034471, lat: 30.584679}
41: H {lng: 104.04018, lat: 30.582988}
42: H {lng: 104.043846, lat: 30.573238}
43: H {lng: 104.03943, lat: 30.568597}
44: H {lng: 104.033354, lat: 30.569541}
45: H {lng: 104.030495, lat: 30.553825}
46: H {lng: 104.039451, lat: 30.545825}
47: H {lng: 104.044135, lat: 30.547286}
48: H {lng: 104.041891, lat: 30.536431}
49: H {lng: 104.044778, lat: 30.532855}
50: H {lng: 104.049893, lat: 30.534975}
51: H {lng: 104.049448, lat: 30.548092}
52: H {lng: 104.05554, lat: 30.547696}
53: H {lng: 104.066916, lat: 30.54055}
54: H {lng: 104.069022, lat: 30.535606}
55: H {lng: 104.087546, lat: 30.544277}
56: H {lng: 104.080924, lat: 30.554693}
57: H {lng: 104.090644, lat: 30.558848}
58: H {lng: 104.086077, lat: 30.567571}
59: H {lng: 104.089555, lat: 30.573587}
60: H {lng: 104.080041, lat: 30.578872}
61: H {lng: 104.085823, lat: 30.584423}
62: H {lng: 104.085557, lat: 30.595079}
63: H {lng: 104.090207, lat: 30.597415}
64: H {lng: 104.088389, lat: 30.6063}
65: H {lng: 104.094888, lat: 30.612267}
66: H {lng: 104.091113, lat: 30.629415}
67: H {lng: 104.100824, lat: 30.635889}
