0: H {lng: 104.24373, lat: 30.693199}
1: H {lng: 104.232945, lat: 30.70031}
2: H {lng: 104.238213, lat: 30.70634}
3: H {lng: 104.229504, lat: 30.711033}
4: H {lng: 104.231772, lat: 30.718708}
5: H {lng: 104.234444, lat: 30.713212}
6: H {lng: 104.23797, lat: 30.716015}
7: H {lng: 104.236195, lat: 30.718569}
8: H {lng: 104.229036, lat: 30.721778}
9: H {lng: 104.226954, lat: 30.718379}
10: H {lng: 104.220358, lat: 30.718788}
11: H {lng: 104.217582, lat: 30.717257}
12: H {lng: 104.218889, lat: 30.712666}
13: H {lng: 104.215192, lat: 30.711169}
14: H {lng: 104.209107, lat: 30.717782}
15: H {lng: 104.203753, lat: 30.715955}
16: H {lng: 104.197849, lat: 30.718741}
17: H {lng: 104.195901, lat: 30.71619}
18: H {lng: 104.199515, lat: 30.721187}
19: H {lng: 104.195059, lat: 30.732817}
20: H {lng: 104.189454, lat: 30.726135}
21: H {lng: 104.18674, lat: 30.72909}
22: H {lng: 104.188201, lat: 30.735165}
23: H {lng: 104.183024, lat: 30.736491}
24: H {lng: 104.18235, lat: 30.734139}
25: H {lng: 104.174231, lat: 30.734065}
26: H {lng: 104.177212, lat: 30.732283}
27: H {lng: 104.172423, lat: 30.729446}
28: H {lng: 104.168831, lat: 30.736768}
29: H {lng: 104.171894, lat: 30.739034}
30: H {lng: 104.170878, lat: 30.744247}
31: H {lng: 104.150332, lat: 30.746066}
32: H {lng: 104.142811, lat: 30.742693}
33: H {lng: 104.14016, lat: 30.744727}
34: H {lng: 104.147859, lat: 30.748554}
35: H {lng: 104.143092, lat: 30.749903}
36: H {lng: 104.140476, lat: 30.755706}
37: H {lng: 104.138017, lat: 30.752918}
38: H {lng: 104.132892, lat: 30.756183}
39: H {lng: 104.134215, lat: 30.74662}
40: H {lng: 104.124201, lat: 30.746881}
41: H {lng: 104.122656, lat: 30.737536}
42: H {lng: 104.117449, lat: 30.737544}
43: H {lng: 104.115548, lat: 30.734246}
44: H {lng: 104.108384, lat: 30.73799}
45: H {lng: 104.108193, lat: 30.728718}
46: H {lng: 104.094772, lat: 30.726206}
47: H {lng: 104.095825, lat: 30.720007}
48: H {lng: 104.089939, lat: 30.71959}
49: H {lng: 104.088047, lat: 30.723036}
50: H {lng: 104.080372, lat: 30.718873}
51: H {lng: 104.077244, lat: 30.72443}
52: H {lng: 104.078286, lat: 30.704345}
53: H {lng: 104.098252, lat: 30.70301}
54: H {lng: 104.100507, lat: 30.699688}
55: H {lng: 104.095386, lat: 30.685677}
56: H {lng: 104.101394, lat: 30.682489}
57: H {lng: 104.09608, lat: 30.675963}
58: H {lng: 104.103214, lat: 30.669781}
59: H {lng: 104.095065, lat: 30.659385}
60: H {lng: 104.134197, lat: 30.640983}
61: H {lng: 104.13593, lat: 30.632057}
62: H {lng: 104.129907, lat: 30.631113}
63: H {lng: 104.136126, lat: 30.623681}
64: H {lng: 104.141228, lat: 30.627606}
65: H {lng: 104.14605, lat: 30.622645}
66: H {lng: 104.154654, lat: 30.630546}
67: H {lng: 104.169425, lat: 30.625452}
68: H {lng: 104.167511, lat: 30.636301}
69: H {lng: 104.171883, lat: 30.641075}
70: H {lng: 104.171002, lat: 30.646287}
71: H {lng: 104.169275, lat: 30.649821}
72: H {lng: 104.163582, lat: 30.650207}
73: H {lng: 104.167008, lat: 30.655715}
74: H {lng: 104.161641, lat: 30.658855}
75: H {lng: 104.160827, lat: 30.669891}
76: H {lng: 104.159765, lat: 30.665}
77: H {lng: 104.154483, lat: 30.668142}
78: H {lng: 104.154735, lat: 30.67293}
79: H {lng: 104.161861, lat: 30.672534}
80: H {lng: 104.163018, lat: 30.667887}
81: H {lng: 104.166086, lat: 30.667877}
82: H {lng: 104.163032, lat: 30.671849}
83: H {lng: 104.170131, lat: 30.680163}
84: H {lng: 104.175329, lat: 30.680866}
85: H {lng: 104.171421, lat: 30.677295}
86: H {lng: 104.177951, lat: 30.67505}
87: H {lng: 104.181316, lat: 30.679175}
88: H {lng: 104.185301, lat: 30.677077}
89: H {lng: 104.197562, lat: 30.680643}
90: H {lng: 104.196912, lat: 30.686161}
91: H {lng: 104.204793, lat: 30.689953}
92: H {lng: 104.219878, lat: 30.685563}
93: H {lng: 104.220764, lat: 30.688654}
94: H {lng: 104.22445, lat: 30.685416}
95: H {lng: 104.232121, lat: 30.68988}
96: H {lng: 104.238081, lat: 30.687506}
97: H {lng: 104.235356, lat: 30.692374}
98: H {lng: 104.24373, lat: 30.693199}
