0: H {lng: 104.14685, lat: 30.766085}
1: H {lng: 104.14415, lat: 30.769067}
2: H {lng: 104.128599, lat: 30.768593}
3: H {lng: 104.125859, lat: 30.77589}
4: H {lng: 104.134658, lat: 30.782547}
5: H {lng: 104.12525, lat: 30.793229}
6: H {lng: 104.109482, lat: 30.794968}
7: H {lng: 104.105519, lat: 30.801499}
8: H {lng: 104.09791, lat: 30.79933}
9: H {lng: 104.099732, lat: 30.807287}
10: H {lng: 104.092834, lat: 30.804454}
11: H {lng: 104.096456, lat: 30.809037}
12: H {lng: 104.092597, lat: 30.812897}
13: H {lng: 104.089388, lat: 30.809902}
14: H {lng: 104.079741, lat: 30.811822}
15: H {lng: 104.074655, lat: 30.807803}
16: H {lng: 104.067502, lat: 30.807837}
17: H {lng: 104.068289, lat: 30.794499}
18: H {lng: 104.061595, lat: 30.793176}
19: H {lng: 104.064789, lat: 30.788149}
20: H {lng: 104.070686, lat: 30.788209}
21: H {lng: 104.071081, lat: 30.78498}
22: H {lng: 104.075325, lat: 30.787232}
23: H {lng: 104.079036, lat: 30.784706}
24: H {lng: 104.078959, lat: 30.771194}
25: H {lng: 104.075784, lat: 30.770375}
26: H {lng: 104.078397, lat: 30.76755}
27: H {lng: 104.081264, lat: 30.769843}
28: H {lng: 104.086432, lat: 30.767602}
29: H {lng: 104.094535, lat: 30.773016}
30: H {lng: 104.10307, lat: 30.771761}
31: H {lng: 104.100983, lat: 30.759556}
32: H {lng: 104.084496, lat: 30.754764}
33: H {lng: 104.074157, lat: 30.742856}
34: H {lng: 104.059963, lat: 30.755108}
35: H {lng: 104.050665, lat: 30.758897}
36: H {lng: 104.043484, lat: 30.74926}
37: H {lng: 104.036981, lat: 30.751343}
38: H {lng: 104.04396, lat: 30.742933}
39: H {lng: 104.039895, lat: 30.739726}
40: H {lng: 104.042068, lat: 30.736545}
41: H {lng: 104.034673, lat: 30.740118}
42: H {lng: 104.031925, lat: 30.747768}
43: H {lng: 104.027511, lat: 30.747383}
44: H {lng: 104.027355, lat: 30.754969}
45: H {lng: 104.019215, lat: 30.754683}
46: H {lng: 104.023364, lat: 30.759726}
47: H {lng: 104.02028, lat: 30.764587}
48: H {lng: 104.014233, lat: 30.762103}
49: H {lng: 104.007959, lat: 30.764031}
50: H {lng: 104.002149, lat: 30.759718}
51: H {lng: 104.005295, lat: 30.753243}
52: H {lng: 104.002141, lat: 30.74914}
53: H {lng: 104.01034, lat: 30.743789}
54: H {lng: 104.00543, lat: 30.741932}
55: H {lng: 104.001477, lat: 30.730305}
56: H {lng: 103.995926, lat: 30.730965}
57: H {lng: 103.989909, lat: 30.737773}
58: H {lng: 103.979628, lat: 30.733208}
59: H {lng: 103.986844, lat: 30.726366}
60: H {lng: 103.982084, lat: 30.723444}
61: H {lng: 103.979642, lat: 30.728062}
62: H {lng: 103.977993, lat: 30.724984}
63: H {lng: 103.973314, lat: 30.727894}
64: H {lng: 103.972688, lat: 30.733071}
65: H {lng: 103.960304, lat: 30.723055}
66: H {lng: 103.967287, lat: 30.721808}
67: H {lng: 103.967921, lat: 30.717399}
68: H {lng: 103.977238, lat: 30.716698}
69: H {lng: 103.97967, lat: 30.705288}
70: H {lng: 103.988789, lat: 30.697588}
71: H {lng: 103.99785, lat: 30.700816}
72: H {lng: 103.992874, lat: 30.706653}
73: H {lng: 103.996147, lat: 30.709161}
74: H {lng: 103.994469, lat: 30.711902}
75: H {lng: 104.006614, lat: 30.70931}
76: H {lng: 104.00873, lat: 30.702664}
77: H {lng: 104.014885, lat: 30.705877}
78: H {lng: 104.01738, lat: 30.694252}
79: H {lng: 104.010107, lat: 30.694819}
80: H {lng: 104.008538, lat: 30.690045}
81: H {lng: 104.016205, lat: 30.692074}
82: H {lng: 104.022659, lat: 30.686945}
83: H {lng: 104.026907, lat: 30.689751}
84: H {lng: 104.038856, lat: 30.685906}
85: H {lng: 104.037598, lat: 30.677953}
86: H {lng: 104.053229, lat: 30.669474}
87: H {lng: 104.059083, lat: 30.681493}
88: H {lng: 104.067814, lat: 30.684366}
89: H {lng: 104.069405, lat: 30.688613}
90: H {lng: 104.09608, lat: 30.675963}
91: H {lng: 104.101394, lat: 30.682489}
92: H {lng: 104.095386, lat: 30.685677}
93: H {lng: 104.100507, lat: 30.699688}
94: H {lng: 104.098252, lat: 30.70301}
95: H {lng: 104.078286, lat: 30.704345}
96: H {lng: 104.077244, lat: 30.72443}
97: H {lng: 104.080372, lat: 30.718873}
98: H {lng: 104.088047, lat: 30.723036}
99: H {lng: 104.089939, lat: 30.71959}
100: H {lng: 104.095825, lat: 30.720007}
101: H {lng: 104.094772, lat: 30.726206}
102: H {lng: 104.108193, lat: 30.728718}
103: H {lng: 104.108384, lat: 30.73799}
104: H {lng: 104.115548, lat: 30.734246}
105: H {lng: 104.117449, lat: 30.737544}
106: H {lng: 104.122781, lat: 30.737675}
107: H {lng: 104.124201, lat: 30.746881}
108: H {lng: 104.134215, lat: 30.74662}
109: H {lng: 104.132892, lat: 30.756183}
110: H {lng: 104.138017, lat: 30.752918}
111: H {lng: 104.140476, lat: 30.755706}
112: H {lng: 104.143092, lat: 30.749903}
113: H {lng: 104.145887, lat: 30.750947}
114: H {lng: 104.14685, lat: 30.766085}
115: H {lng: 103.970416, lat: 30.787906}
116: H {lng: 103.961675, lat: 30.791028}
117: H {lng: 103.954927, lat: 30.78594}
118: H {lng: 103.957661, lat: 30.782921}
119: H {lng: 103.953412, lat: 30.784295}
120: H {lng: 103.951232, lat: 30.781399}
121: H {lng: 103.955107, lat: 30.775288}
122: H {lng: 103.9647, lat: 30.776705}
123: H {lng: 103.970416, lat: 30.787906}
